open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-01-28 19:30:00,89403.69,89550.0,89006.36,89039.3,197.18046,2026-01-28 19:44:59.999,17605516.87962540,155331,86.99933000,7768555.67370610,0
2026-01-28 19:45:00,89040.0,89594.93,89040.0,89402.58,157.78347,2026-01-28 19:59:59.999,14095158.17321640,83859,94.80169000,8466950.19074640,0
2026-01-28 20:00:00,89402.57,89624.59,89332.0,89584.86,72.12445,2026-01-28 20:14:59.999,6457713.79325870,54469,40.93860000,3665587.43348480,0
2026-01-28 20:15:00,89584.86,89896.0,89469.95,89791.55,221.49125,2026-01-28 20:29:59.999,19858331.34392910,60242,107.72221000,9661599.87677130,0
2026-01-28 20:30:00,89791.55,89791.56,89153.84,89234.8,174.94868,2026-01-28 20:44:59.999,15632211.97037470,64789,74.81684000,6684318.77207190,0
2026-01-28 20:45:00,89234.8,89257.65,89010.0,89130.63,122.38186,2026-01-28 20:59:59.999,10908520.82912980,48113,53.67675000,4784476.19543810,0
2026-01-28 21:00:00,89130.63,89211.49,88878.01,89211.49,174.87905,2026-01-28 21:14:59.999,15567099.32114810,92176,67.63578000,6021686.48168740,0
2026-01-28 21:15:00,89211.48,89277.4,89150.0,89178.99,52.82921,2026-01-28 21:29:59.999,4713311.46366610,33983,23.22131000,2071680.56924720,0
2026-01-28 21:30:00,89178.99,89490.24,89068.13,89426.09,102.28899,2026-01-28 21:44:59.999,9135390.95679540,38307,63.80275000,5698692.08734250,0
2026-01-28 21:45:00,89426.08,89478.01,89318.9,89412.17,51.50269,2026-01-28 21:59:59.999,4604652.86262040,27047,26.29894000,2351717.62991320,0
2026-01-28 22:00:00,89412.18,89479.04,89270.0,89292.61,45.2851,2026-01-28 22:14:59.999,4049269.68149570,22771,17.85627000,1596765.06493350,0
2026-01-28 22:15:00,89292.61,89292.61,89138.0,89285.77,38.77405,2026-01-28 22:29:59.999,3458739.90086050,19707,14.15396000,1262377.77742700,0
2026-01-28 22:30:00,89285.78,89300.0,89196.62,89259.62,30.39822,2026-01-28 22:44:59.999,2712491.49771010,17342,13.17680000,1175726.84656870,0
2026-01-28 22:45:00,89259.63,89415.5,89259.63,89396.15,41.77781,2026-01-28 22:59:59.999,3731926.18997930,13966,22.74217000,2031708.64318040,0
2026-01-28 23:00:00,89396.15,89454.0,89348.22,89350.02,63.41212,2026-01-28 23:14:59.999,5668858.58378410,27097,30.64109000,2739002.95530120,0
2026-01-28 23:15:00,89350.01,89471.41,89260.14,89298.18,38.05391,2026-01-28 23:29:59.999,3402311.96284880,25393,17.83150000,1594302.47399410,0
2026-01-28 23:30:00,89298.17,89335.9,89209.48,89313.55,54.87894,2026-01-28 23:44:59.999,4898629.63338070,15650,29.93265000,2671876.57764640,0
2026-01-28 23:45:00,89313.54,89399.36,89234.78,89299.99,76.80446,2026-01-28 23:59:59.999,6858924.65269160,21385,37.55586000,3353988.89380640,0
2026-01-29 00:00:00,89300.0,89348.0,89100.0,89100.01,108.02015,2026-01-29 00:14:59.999,9632633.21386880,40006,46.60477000,4155335.19378920,0
2026-01-29 00:15:00,89100.0,89149.58,89006.03,89032.57,140.54936,2026-01-29 00:29:59.999,12522711.68554290,35734,28.82918000,2568417.31717600,0
2026-01-29 00:30:00,89032.58,89149.96,88963.62,88969.86,81.62558,2026-01-29 00:44:59.999,7268276.24342620,37972,23.56309000,2098939.51239850,0
2026-01-29 00:45:00,88969.85,89150.0,88900.0,89143.91,101.01776,2026-01-29 00:59:59.999,8993853.43419180,40429,42.88128000,3817981.88294660,0
2026-01-29 01:00:00,89143.92,89159.99,89012.42,89106.05,47.48068,2026-01-29 01:14:59.999,4230145.89238570,29447,14.34914000,1278535.44957250,0
2026-01-29 01:15:00,89106.72,89106.72,88613.09,88831.59,240.40111,2026-01-29 01:29:59.999,21346680.42651500,64491,94.52420000,8390930.48681190,0
2026-01-29 01:30:00,88831.5,88898.95,88735.6,88836.0,99.27102,2026-01-29 01:44:59.999,8816302.72199290,55346,50.62656000,4495742.25667220,0
2026-01-29 01:45:00,88836.0,88900.0,88548.87,88603.56,237.65827,2026-01-29 01:59:59.999,21064724.87560670,57184,100.18958000,8878801.74913400,0
2026-01-29 02:00:00,88603.56,88754.64,88461.53,88690.26,165.1017,2026-01-29 02:14:59.999,14627514.07531380,54672,62.55491000,5543642.21753000,0
2026-01-29 02:15:00,88690.26,88728.14,88569.77,88611.14,104.96207,2026-01-29 02:29:59.999,9306599.42696730,34359,39.22772000,3477981.01317840,0
2026-01-29 02:30:00,88611.14,88611.14,88022.09,88154.64,482.71454,2026-01-29 02:44:59.999,42584573.26968110,119407,186.46312000,16447868.02355900,0
2026-01-29 02:45:00,88154.64,88154.64,87704.0,87907.06,344.5733,2026-01-29 02:59:59.999,30284898.02858370,97681,130.79843000,11492280.32842970,0
2026-01-29 03:00:00,87907.05,88265.39,87771.3,88081.77,353.54524,2026-01-29 03:14:59.999,31122067.33667810,72661,202.52857000,17829398.95352240,0
